OPCODE,INST,ID,CAT
46,iaload,0,xaload
47,laload,0,xaload
48,faload,0,xaload
49,daload,0,xaload
50,aaload,0,xaload
51,baload,0,xaload
52,caload,0,xaload
53,saload,0,xaload
79,iastore,1,xastore
80,lastore,1,xastore
81,fastore,1,xastore
82,dastore,1,xastore
83,aastore,1,xastore
84,bastore,1,xastore
85,castore,1,xastore
86,sastore,1,xastore
190,arraylength,2,arraylength
96,iadd,3,xadd
97,ladd,3,xadd
98,fadd,3,xadd
99,dadd,3,xadd
100,isub,4,xsub
101,lsub,4,xsub
102,fsub,4,xsub
103,dsub,4,xsub
104,imul,5,xmul
105,lmul,5,xmul
106,fmul,5,xmul
107,dmul,5,xmul
108,idiv,6,xdiv
109,ldiv,6,xdiv
110,fdiv,6,xdiv
111,ddiv,6,xdiv
112,irem,7,xrem
113,lrem,7,xrem
114,frem,7,xrem
115,drem,7,xrem
116,ineg,8,xneg
117,lneg,8,xneg
118,fneg,8,xneg
119,dneg,8,xneg
120,ishl,9,xshift
121,lshl,9,xshift
122,ishr,9,xshift
123,lshr,9,xshift
124,iushr,9,xshift
125,lushr,9,xshift
126,iand,10,xand
127,land,10,xand
128,ior,11,orinst
129,lor,11,orinst
130,ixor,12,xxor
131,lxor,12,xxor
132,iinc,13,iinc
148,lcmp,14,compinst
149,fcmpl,14,compinst
150,fcmpg,14,compinst
151,dcmpl,14,compinst
152,dcmpg,14,compinst
153,ifeq,15,if_xx
154,ifne,15,if_xx
155,iflt,15,if_xx
156,ifge,15,if_xx
157,ifgt,15,if_xx
158,ifle,15,if_xx
159,if_icmpeq,15,if_xx
160,if_icmpne,15,if_xx
161,if_icmplt,15,if_xx
162,if_icmpge,15,if_xx
163,if_icmpgt,15,if_xx
164,if_icmple,15,if_xx
165,if_acmpeq,15,if_xx
166,if_acmpne,15,if_xx
170,tableswitch,16,xswitch
171,lookupswitch,16,xswitch
198,ifnull,15,if_xx
199,ifnonnull,15,if_xx
